median_house_value,prediction
182600.0,134170.0
60500.0,60220.0
500001.0,432420.5
186800.0,185640.0
274100.0,255060.0
105800.0,122920.0
136800.0,183500.0
156300.0,258080.0
161400.0,163100.0
76900.0,80280.0
65900.0,94970.0
207000.0,192130.0
163900.0,212350.0
287600.0,250680.0
197600.0,178790.0
477100.0,469330.3
92600.0,105030.0
110700.0,133890.0
500001.0,406800.3
157300.0,130210.0
156600.0,193830.0
500001.0,414220.4
181100.0,251000.0
87500.0,231270.0
275000.0,102710.0
146800.0,242210.0
192300.0,217230.0
394600.0,372910.1
276300.0,247360.0
461600.0,422650.2
57600.0,75920.0
279400.0,230050.0
246400.0,226890.0
142500.0,238400.2
319400.0,305110.0
179800.0,185250.0
70600.0,90720.0
170900.0,173130.0
151100.0,162280.0
300600.0,148150.0
220700.0,217760.0
278300.0,363250.3
101800.0,128380.0
324900.0,268730.0
181100.0,188900.0
52200.0,63890.0
176600.0,263760.0
141500.0,253220.1
173100.0,190190.0
248000.0,194340.0
137500.0,150070.0
133800.0,133970.0
429200.0,328750.2
239400.0,328040.0
150800.0,163010.0
269500.0,264260.0
112500.0,111230.0
76800.0,59450.0
322600.0,222120.0
263100.0,255200.0
190900.0,235310.1
125400.0,125670.0
162500.0,213310.0
225000.0,193920.0
117700.0,119310.0
122500.0,140040.0
266800.0,255640.0
67500.0,239160.0
169500.0,203760.0
149900.0,160440.0
315600.0,207840.0
185200.0,204540.0
239300.0,204300.0
321200.0,217030.0
182500.0,246260.0
158100.0,185420.0
150000.0,110720.0
192900.0,185130.0
146400.0,165760.0
133200.0,133100.0
72600.0,88420.0
179300.0,201590.0
87700.0,98990.0
202800.0,206390.0
152700.0,164200.0
208100.0,275360.0
55200.0,63490.0
83600.0,78120.0
500001.0,500001.0
447300.0,477600.6
144400.0,145080.0
271400.0,284920.0
88200.0,85580.0
350000.0,426450.3
100500.0,150570.0
100200.0,99250.0
345900.0,429070.5
70500.0,68590.0
59300.0,64080.0
52700.0,67120.0
143200.0,125390.0
214300.0,236890.0
150400.0,161020.0
154200.0,175400.0
94300.0,77890.0
175800.0,214060.0
141700.0,200910.0
68100.0,82410.0
352200.0,418830.2
113500.0,108260.0
420000.0,449830.5
93200.0,113760.0
94400.0,102010.0
314000.0,318540.0
500001.0,374400.2
429000.0,262410.0
152300.0,175680.0
110400.0,89310.0
156700.0,162670.0
96800.0,110940.0
106300.0,118880.0
183600.0,233840.0
111700.0,94640.0
144200.0,157900.0
159100.0,246110.0
52600.0,55030.0
217800.0,215550.0
147200.0,200450.0
179800.0,195950.0
241200.0,281910.0
188500.0,177030.0
136700.0,131460.0
174200.0,161390.0
213500.0,118470.0
470500.0,457390.5
243200.0,257750.0
191600.0,206570.0
112500.0,107210.0
68600.0,87780.0
100000.0,138900.0
223700.0,230380.0
150300.0,117740.0
134600.0,220800.0
50000.0,71750.0
248100.0,102330.0
119200.0,146060.0
500001.0,500001.0
270800.0,313870.1
488900.0,214620.0
118000.0,124660.0
500001.0,500001.0
239800.0,186850.0
350000.0,474000.6
215000.0,238330.0
125000.0,395380.3
271800.0,312730.0
164600.0,205330.0
96800.0,105360.0
172900.0,182470.0
375000.0,215160.0
229200.0,254260.0
147500.0,132050.0
123800.0,123320.0
295300.0,254780.0
162500.0,189580.0
179100.0,85940.0
393600.0,435990.3
170800.0,175860.0
112500.0,228849.9
195800.0,198260.0
43500.0,59690.0
146400.0,160970.0
300000.0,347990.2
192000.0,299770.0
500001.0,479540.6
187600.0,235330.0
225900.0,189670.0
93100.0,109830.0
500001.0,468090.7
445900.0,293550.0
254500.0,228890.0
159400.0,157120.0
290100.0,223990.0
268500.0,371120.0
121900.0,150500.0
274000.0,231640.0
235500.0,207400.0
66300.0,120180.0
90400.0,116700.0
180800.0,215010.0
115800.0,146950.0
268500.0,299650.0
91200.0,141950.0
302600.0,265750.0
125000.0,193620.0
151600.0,98520.0
143800.0,128400.0
130000.0,128060.0
239400.0,206820.0
175000.0,152010.0
143800.0,148310.0
153200.0,150100.0
120900.0,169640.0
65300.0,92880.0
360200.0,407780.5
500001.0,378140.1
152600.0,159690.0
89800.0,99670.0
237500.0,272250.1
350000.0,168570.0
287500.0,387880.4
226400.0,232100.0
191100.0,207050.0
350000.0,385980.1
500001.0,441810.5
348100.0,399170.4
251500.0,327360.0
78300.0,79500.0
122800.0,135630.0
251200.0,229300.0
137500.0,119870.0
214700.0,257540.1
139100.0,153550.0
334700.0,364890.1
111300.0,102520.0
500001.0,430700.3
82500.0,121500.0
135300.0,110480.0
87500.0,229240.0
254500.0,241370.0
150400.0,143100.0
32900.0,74920.0
495400.0,474260.5
134400.0,177260.0
346700.0,332140.0
369700.0,365130.2
254200.0,309410.1
190700.0,213080.0
446600.0,491160.8
130000.0,83890.0
365900.0,269070.0
342700.0,312500.0
192600.0,238710.0
303300.0,375510.0
96600.0,88970.0
225000.0,208180.0
230400.0,199180.0
217900.0,196580.0
177200.0,188340.0
231800.0,204580.0
112500.0,97000.0
410500.0,387290.0
189400.0,192530.0
154600.0,145260.0
142500.0,180650.0
243800.0,251440.0
133200.0,134160.0
183500.0,171800.0
45600.0,54630.0
88900.0,97070.0
500001.0,447150.4
125000.0,113540.0
425500.0,398440.1
99300.0,115510.0
340400.0,432570.5
203000.0,210660.0
165400.0,279820.0
117900.0,79360.0
75700.0,90460.0
366700.0,361390.3
74300.0,101180.0
169800.0,144460.0
500001.0,467780.7
25000.0,254250.0
160900.0,133200.0
103000.0,90590.0
140700.0,115910.0
162500.0,268120.1
295600.0,371220.2
61300.0,69990.0
239400.0,287370.0
295100.0,344730.2
441400.0,451520.5
500001.0,364220.3
127900.0,184120.0
159800.0,166600.0
155300.0,152570.0
162700.0,142960.0
176000.0,153240.0
141700.0,131990.0
111400.0,122150.0
73400.0,79700.0
150100.0,169360.0
111800.0,167660.0
168300.0,179520.0
172500.0,174370.0
284800.0,255080.1
225700.0,294190.0
500001.0,500001.0
234600.0,165520.0
343000.0,377020.2
500001.0,363080.2
118500.0,116690.0
66000.0,88030.0
134000.0,130810.0
90600.0,117500.0
100000.0,68090.0
269800.0,272900.0
142100.0,170350.0
456300.0,274170.0
230300.0,192870.0
245600.0,339870.0
285700.0,344370.0
499100.0,476110.7
203800.0,202270.0
191300.0,208310.0
484700.0,467470.7
276300.0,231510.0
123600.0,147380.0
250500.0,385620.0
232500.0,404110.3
193600.0,283880.0
301900.0,253000.0
187300.0,220170.0
78800.0,104730.0
185600.0,187330.0
172000.0,122890.0
221100.0,255220.0
79700.0,109230.0
302900.0,163830.0
248100.0,237070.0
114000.0,143370.0
170800.0,159580.0
311900.0,340200.1
116700.0,118840.0
330000.0,237220.0
190400.0,178620.0
222200.0,284280.0
173900.0,194610.0
145000.0,121110.0
58200.0,80040.0
379000.0,418640.1
187500.0,186920.0
136300.0,140620.0
102900.0,106350.0
146000.0,147970.0
106300.0,85160.0
359900.0,354360.1
69500.0,86230.0
331200.0,322850.0
226500.0,225610.0
82800.0,97400.0
89400.0,126570.0
113900.0,177230.1
129700.0,128020.0
218300.0,174860.0
113200.0,120550.0
500001.0,500001.0
119000.0,117160.0
329400.0,339500.0
100000.0,137640.0
252000.0,318970.1
59100.0,56040.0
94400.0,87340.0
383000.0,384780.2
195000.0,200630.0
111700.0,123580.0
151900.0,112360.0
441100.0,358430.0
128500.0,115960.0
106300.0,186090.0
431800.0,441760.2
88900.0,87870.0
81500.0,107270.0
280000.0,215890.0
240300.0,226830.0
138800.0,229410.0
500001.0,465340.5
179000.0,172610.0
127900.0,144370.0
333900.0,408100.0
115400.0,107840.0
65800.0,62260.0
124300.0,124000.0
212100.0,201410.0
86100.0,107420.0
98800.0,131610.0
50800.0,95490.0
96200.0,110480.0
166700.0,179160.0
273600.0,256770.0
261000.0,279730.0
135500.0,161190.0
318300.0,344200.1
209200.0,240660.0
162500.0,156180.0
193800.0,309400.0
242300.0,279600.0
145500.0,188020.0
137500.0,137180.0
268700.0,363850.1
198500.0,181270.0
217500.0,226050.0
187500.0,273460.0
152500.0,147710.0
150700.0,182370.0
113600.0,108640.0
229200.0,175890.0
145900.0,175040.0
216600.0,196900.0
500001.0,470670.4
138800.0,136100.0
57200.0,79980.0
151100.0,145030.0
122200.0,133360.0
187800.0,196540.0
196900.0,138060.0
91200.0,75200.0
195000.0,125970.0
123100.0,162010.0
181300.0,122700.0
286300.0,282500.0
225600.0,172230.0
139800.0,155900.0
234800.0,286550.0
92800.0,103120.0
243400.0,290390.0
434700.0,190730.0
97700.0,71890.0
234600.0,224210.0
171600.0,200470.0
133100.0,144500.0
336500.0,345420.0
322900.0,286460.0
162400.0,220830.0
232900.0,212560.0
275000.0,310800.0
155400.0,193300.0
170800.0,173840.0
234800.0,265900.0
251800.0,420630.3
166100.0,123150.0
278100.0,266100.0
204200.0,165450.0
500001.0,459780.4
241000.0,270740.0
93300.0,121480.0
140600.0,85160.0
165800.0,225720.0
216700.0,159410.0
78000.0,83790.0
140600.0,149630.0
331400.0,340760.1
500001.0,421260.2
50000.0,243000.0
78100.0,81740.0
171100.0,230940.0
264400.0,221140.0
183300.0,240280.0
159400.0,154470.0
99500.0,109670.0
103100.0,80510.0
101100.0,144210.0
122800.0,108170.0
229800.0,303400.0
307600.0,162820.0
225000.0,436760.3
118400.0,105900.0
135200.0,165410.0
276200.0,270190.0
306000.0,253640.0
229600.0,239840.0
216100.0,208820.0
116100.0,111850.0
60900.0,60750.0
240300.0,296660.0
112500.0,104990.0
411200.0,500001.0
126500.0,126740.0
301100.0,203990.0
483300.0,385790.2
153200.0,157510.0
128000.0,161880.0
312100.0,342330.0
100000.0,85570.0
193800.0,230740.1
178100.0,240440.0
121400.0,149550.0
62400.0,82390.0
97400.0,88970.0
94800.0,122420.0
177500.0,118490.0
278100.0,349410.0
394000.0,417630.2
93700.0,94140.0
79300.0,120050.0
432400.0,395630.5
304000.0,192720.0
113900.0,124440.0
117500.0,96360.0
345200.0,425360.2
186400.0,210710.0
262500.0,228790.0
198700.0,213290.0
191300.0,279500.0
178300.0,248020.0
128700.0,143060.0
118500.0,129210.0
118500.0,147600.0
279500.0,262720.0
307400.0,360790.3
222000.0,217560.0
152300.0,143110.0
500001.0,209990.0
345500.0,239510.0
500001.0,480290.8
72900.0,80810.0
233300.0,224180.0
208700.0,215660.0
231700.0,188470.0
162200.0,175210.0
310900.0,312060.1
102600.0,104060.0
350000.0,135750.0
236500.0,300680.0
87000.0,89460.0
500001.0,377300.3
500000.0,407310.6
346200.0,327030.3
220100.0,143790.0
241400.0,227890.0
203900.0,222620.1
367900.0,281540.0
139700.0,104000.0
223400.0,248350.0
352200.0,411060.2
213800.0,245560.0
84400.0,93370.0
40000.0,60000.0
109800.0,105760.0
166100.0,161690.0
500001.0,381940.2
65800.0,81730.0
200600.0,198470.0
130400.0,146240.0
195800.0,233080.0
136400.0,146430.0
216800.0,210570.0
183900.0,166030.0
86400.0,73750.0
186300.0,136680.0
175200.0,201130.0
180800.0,235430.0
199000.0,165270.0
267600.0,283730.0
231400.0,310490.0
223900.0,311270.1
159800.0,229900.0
144600.0,133720.0
96400.0,127110.0
175900.0,214830.0
443000.0,245550.0
470800.0,386090.2
360500.0,279030.0
141700.0,113240.0
500001.0,494040.8
122000.0,139390.0
135100.0,132260.0
116300.0,109420.0
160800.0,146690.0
